generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
17,4,0.8103506014523681,8.0,4.0,96.47445735931396,18.90133075714111,0.08734894861280917
17,5,0.8031924473797832,9.0,4.0,101.9649320602417,19.720956611633298,0.08019413408637047
17,6,0.8053385388630407,11.0,4.0,115.69539604187011,21.235577392578122,0.08172018659114838
17,7,0.8017602524492475,10.0,4.0,106.55329761505126,17.205223369598386,0.08935726043581962
18,0,0.8016360262808976,9.0,4.0,110.70858297348022,20.058786201477048,0.08401269820332527
18,1,0.8025902454279087,9.0,4.0,108.05530605316162,23.743337917327878,0.09409653452038765
18,2,0.8091632309666386,8.0,4.0,100.92397747039794,22.065810489654538,0.0935469178557396
18,3,0.8061647924891223,11.0,4.0,94.6907597541809,21.836754608154294,0.08329102230072022
18,4,0.8145279245023374,10.0,4.0,100.58775720596313,21.620077419281003,0.09186374574946239
18,5,0.8035283228423861,9.0,4.0,103.99786052703857,19.7893946647644,0.08911435083299875
18,6,0.8040863870691369,11.0,5.0,106.82654676437377,15.338327217102048,0.09032958336919546
18,7,0.788425693710645,7.0,4.0,100.02294836044311,18.829125690460202,0.09124641721881926
19,0,0.8050068208906386,11.0,4.0,100.66320238113403,20.21837167739868,0.0924913822747767
19,1,0.8028921834627787,10.0,4.0,89.42662057876586,16.583504009246823,0.0856781644821167
19,2,0.8032969078973488,12.0,4.0,95.56516704559326,21.17599420547485,0.08550123181939125
19,3,0.8036127344325736,9.0,3.0,92.22646770477294,21.286150741577146,0.09964733776450158
19,4,0.7971467286348343,11.0,3.0,109.34132871627807,24.480754661560056,0.0866828942745924
19,5,0.8142246151853492,8.0,4.0,81.20863971710205,21.80804781913757,0.0808941153883934
19,6,0.8069684008315757,11.0,4.0,98.5826807975769,20.30553750991821,0.07482706588506699
19,7,0.8023459579326487,11.0,4.0,98.66306838989257,26.819773244857785,0.07750252318382263
20,0,0.8016855937904781,9.0,4.0,75.02115545272827,16.86017684936523,0.07511486840248108
20,1,0.8078751255406273,8.0,4.0,95.63958940505981,23.83774571418762,0.0862323811352253
20,2,0.8030738916882761,9.0,4.0,101.29525241851806,24.544424343109128,0.09116949225589632
20,3,0.8028657212301535,9.0,4.0,93.9574080467224,24.785243797302243,0.07544788551330567
20,4,0.8051901805842364,11.0,4.0,102.26103363037109,19.867855834960935,0.09101730269193649
20,5,0.8048575137279652,10.0,4.0,93.86210021972656,17.010170745849607,0.0907347835674882
20,6,0.8067605546889481,11.0,4.0,94.35112771987914,21.501604843139646,0.08198383581638335
20,7,0.8024861881247274,9.0,4.0,96.05543909072875,21.526607799530026,0.07644267064332962
21,0,0.785444253374029,7.0,4.0,76.28176507949829,24.00693230628967,0.0816653451025486
21,1,0.8032951851906599,9.0,4.0,96.88920555114746,20.84898405075073,0.08677058798074722
21,2,0.8067345547896845,9.0,4.0,104.13045463562011,19.67042379379272,0.09592255783081055
21,3,0.8115118082585159,8.0,4.0,93.86923131942748,21.024686622619626,0.08524292689561844
21,4,0.8122844037965491,8.0,4.0,96.25395832061767,23.53757433891296,0.08869665098190307
21,5,0.8036087054234965,9.0,4.0,94.9703031539917,24.034194278717038,0.08034511265158653
21,6,0.804922925984418,9.0,4.0,94.0479022026062,22.267047691345212,0.08719811831414699
21,7,0.8113291421422252,8.0,4.0,82.42211399078369,20.88535003662109,0.07828602176904678
22,0,0.804022797346115,8.0,5.0,93.62844047546386,22.55010538101196,0.08807500918209553
22,1,0.8034313696622849,9.0,4.0,94.92174444198608,21.978629159927365,0.08435053285956383
22,2,0.8118708548501686,8.0,4.0,93.18727073669433,20.11355571746826,0.08209502902626992
22,3,0.8114046065454129,8.0,4.0,94.57814989089965,20.032700824737546,0.08529517334699631
22,4,0.8136724892810538,8.0,4.0,83.59839496612548,22.62375884056091,0.0826593456864357
