plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,beta_ca3,1.5,391.43384542465213,42002,0.7045464746157327,0.8536394238471985,0.26,1.0,0.5383333333333332,0.9406169156233469,8.677082951180637e-05,0.7278322411908043
base,beta_ca3,1.5,391.43384542465213,42003,0.6839880855878194,0.8919642567634583,0.16,1.0,0.535,0.9376579821109772,0.0001881804346339777,0.7188820225662655
base,beta_ca3,2.0,521.9117938995362,42001,0.7078535922368369,0.8835607767105103,0.24,1.0,0.53,0.9319645116726557,0.00011946443555643782,0.7232727013031641
base,beta_ca3,2.0,521.9117938995362,42002,0.704621795018514,0.853865385055542,0.26,1.0,0.5416666666666666,0.940650204817454,8.677082951180637e-05,0.7289795555008782
base,beta_ca3,2.0,521.9117938995362,42003,0.6839839331309001,0.8919517993927002,0.16,1.0,0.535,0.937665859858195,0.0001881804346339777,0.7188832643296983
base,beta_ca3,3.0,782.8676908493043,42001,0.7078540889422099,0.8835622668266296,0.24,1.0,0.5316666666666667,0.9319667816162109,0.00011946443555643782,0.7238291790750292
base,beta_ca3,3.0,782.8676908493043,42002,0.7046277157465616,0.8538831472396851,0.26,1.0,0.5416666666666666,0.9406527678171793,8.677082951180637e-05,0.7289823834101359
base,beta_ca3,3.0,782.8676908493043,42003,0.6839835556348165,0.8919506669044495,0.16,1.0,0.535,0.9376664658387502,0.0001881804346339777,0.7188833404911888
base,beta_ca3,9.0,2348.6030725479127,42001,0.7078540889422099,0.8835622668266296,0.24,1.0,0.5316666666666667,0.9319668114185333,0.00011946443555643782,0.7238291890091366
base,beta_ca3,9.0,2348.6030725479127,42002,0.7046277157465616,0.8538831472396851,0.26,1.0,0.5416666666666666,0.9406527727842331,8.677082951180637e-05,0.7289823850658204
base,beta_ca3,9.0,2348.6030725479127,42003,0.6839835556348165,0.8919506669044495,0.16,1.0,0.535,0.9376664658387502,0.0001881804346339777,0.7188833404911888
base,beta_ca1,0.1,0.5,42001,0.5883178631464641,0.6649535894393921,0.1,1.0,0.5266666666666667,0.7607394754886627,0.00011946443555643782,0.6252413351005979
base,beta_ca1,0.1,0.5,42002,0.567165466149648,0.6014963984489441,0.1,1.0,0.5333333333333333,0.7938141723473867,8.677082951180637e-05,0.6314376572767892
base,beta_ca1,0.1,0.5,42003,0.6143303227424622,0.6829909682273865,0.16,1.0,0.5383333333333334,0.8231135855118433,0.0001881804346339777,0.6585924138625463
base,beta_ca1,0.3,1.5,42001,0.6702843817075094,0.8508531451225281,0.16,1.0,0.5216666666666666,0.8376456300417582,0.00011946443555643782,0.6765322261386446
base,beta_ca1,0.3,1.5,42002,0.6691315873463948,0.7873947620391846,0.22,1.0,0.5366666666666666,0.8618149061997732,8.677082951180637e-05,0.6892043867376115
base,beta_ca1,0.3,1.5,42003,0.6880539957682291,0.8441619873046875,0.22,1.0,0.535,0.8762655407190323,0.0001881804346339777,0.6997731788290871
base,beta_ca1,0.5,2.5,42001,0.6792664106686909,0.857799232006073,0.18,1.0,0.5266666666666667,0.8734293033679327,0.00011946443555643782,0.6931207935677633
base,beta_ca1,0.5,2.5,42002,0.6617580429712931,0.8052741289138794,0.18,1.0,0.5333333333333333,0.8868024001518885,8.677082951180637e-05,0.6939645921521717
base,beta_ca1,0.5,2.5,42003,0.6810727095603942,0.8632181286811829,0.18,1.0,0.5316666666666666,0.9004504680633545,0.0001881804346339777,0.7043966147634717
base,beta_ca1,0.7,3.5,42001,0.6893311381340027,0.8679934144020081,0.2,1.0,0.5266666666666667,0.9086101452509562,0.00011946443555643782,0.7082026500172085
base,beta_ca1,0.7,3.5,42002,0.6683960930506387,0.8251882791519165,0.18,1.0,0.5366666666666666,0.9179440140724182,8.677082951180637e-05,0.7076689245965745
base,beta_ca1,0.7,3.5,42003,0.6868137296040852,0.8804411888122559,0.18,1.0,0.5316666666666666,0.9261888066927592,0.0001881804346339777,0.7148897343211703
base,beta_ca1,1.0,5.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,beta_ca1,1.0,5.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,beta_ca1,1.0,5.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,beta_ca1,1.5,7.5,42001,0.688283665974935,0.8648509979248047,0.2,1.0,0.5266666666666667,0.9230208893616995,0.00011946443555643782,0.7126570740011003
