plasticity_rule,plasticity_label,varied_parameter,multiplier,evolved_value,actual_value,fitness,clean_score,mec_degraded_score,lec_degraded_score
base,Instructive-driven,beta_ca3,0.7,260.9558969497681,182.66912786483766,0.7182095089002892,0.6950589124361674,0.5272222222222224,0.932347392042478
base,Instructive-driven,beta_ca3,1.0,260.9558969497681,260.9558969497681,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,beta_ca3,1.5,260.9558969497681,391.43384542465213,0.723325043408959,0.698794011010064,0.5344444444444445,0.9367366747723684
base,Instructive-driven,beta_ca3,2.0,260.9558969497681,521.9117938995362,0.7237118403779136,0.6988197734620837,0.5355555555555557,0.9367601921161016
base,Instructive-driven,beta_ca3,3.0,260.9558969497681,782.8676908493043,0.723898300992118,0.6988217867745293,0.5361111111111111,0.9367620050907135
base,Instructive-driven,beta_ca3,9.0,260.9558969497681,2348.6030725479127,0.723898304855382,0.6988217867745293,0.5361111111111111,0.9367620166805056
base,Instructive-driven,beta_ca1,0.1,5.0,0.5,0.6384238020799778,0.5899378840128581,0.5327777777777779,0.7925557444492976
base,Instructive-driven,beta_ca1,0.3,5.0,1.5,0.6885032639017811,0.6758233216073778,0.5311111111111111,0.8585753589868546
base,Instructive-driven,beta_ca1,0.5,5.0,2.5,0.6971606668278022,0.6740323877334594,0.5305555555555556,0.8868940571943918
base,Instructive-driven,beta_ca1,0.7,5.0,3.5,0.7102537696449844,0.6815136535962422,0.5316666666666667,0.9175809886720444
base,Instructive-driven,beta_ca1,1.0,5.0,5.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,beta_ca1,1.5,5.0,7.5,0.7160896619602486,0.6902792602115208,0.5311111111111112,0.926878614558114
base,Instructive-driven,beta_ca1,2.0,5.0,10.0,0.7045732805905519,0.6674591104189554,0.5322222222222223,0.9140385091304779
base,Instructive-driven,beta_ca1,3.0,5.0,15.0,0.6953038779452996,0.6549957021077474,0.5311111111111111,0.89980482061704
base,Instructive-driven,beta_ca1,9.0,5.0,45.0,0.6792146972152922,0.6326146817207338,0.5299999999999999,0.8750294099251429
base,Instructive-driven,alpha,0.1,0.00890362691879272,0.0008903626918792721,0.6859088909405249,0.6588635444641114,0.5311111111111111,0.8677520172463523
base,Instructive-driven,alpha,0.3,0.00890362691879272,0.002671088075637816,0.7078008107565067,0.6801800062921313,0.5322222222222223,0.9110002037551669
base,Instructive-driven,alpha,0.5,0.00890362691879272,0.00445181345939636,0.7192919282559994,0.6957030399640401,0.5327777777777779,0.9293949670261807
base,Instructive-driven,alpha,0.7,0.00890362691879272,0.006232538843154904,0.7217164167209907,0.69989491754108,0.5305555555555556,0.9346987770663366
base,Instructive-driven,alpha,1.0,0.00890362691879272,0.00890362691879272,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,alpha,1.5,0.00890362691879272,0.01335544037818908,0.7223064213991165,0.700591344833374,0.5299999999999999,0.9363279193639755
base,Instructive-driven,alpha,2.0,0.00890362691879272,0.01780725383758544,0.7232994869903283,0.7029054707951016,0.5305555555555556,0.9364374346203275
base,Instructive-driven,alpha,3.0,0.00890362691879272,0.02671088075637816,0.7258571017892272,0.7077118677563138,0.5327777777777779,0.9370816598335902
base,Instructive-driven,alpha,9.0,0.00890362691879272,0.08013264226913448,0.7227939251837907,0.7029178884294298,0.5299999999999999,0.9354638871219424
