root_seed,condition,memory_index,cosine,mse,topk,identity
51001,no_plasticity,24,0.08564019251093836,0.10000000149011612,0.0,0.0
51001,no_plasticity,25,0.14932123541003534,0.10000000149011612,0.2,0.0
51001,no_plasticity,26,0.10739567223542382,0.10000000149011612,0.0,0.0
51001,no_plasticity,27,0.09217601373769978,0.10000000149011612,0.0,0.0
51002,aligned,0,0.6725912187092739,0.08212099969387054,0.8,1.0
51002,aligned,1,0.7999095203297544,0.05623127892613411,1.0,1.0
51002,aligned,2,0.7436514873697545,0.08060948550701141,1.0,1.0
51002,aligned,3,0.9290092707438118,0.01378682255744934,0.8,1.0
51002,aligned,4,0.9341181113365047,0.012993528507649899,0.8,1.0
51002,aligned,5,0.9269182210569217,0.016226928681135178,1.0,1.0
51002,aligned,6,0.8309624338316851,0.044422607868909836,0.8,1.0
51002,aligned,7,0.8687041582039285,0.024542341008782387,0.8,1.0
51002,aligned,8,0.8974635814507623,0.02175518311560154,0.8,1.0
51002,aligned,9,0.8952722939581109,0.020832987502217293,1.0,1.0
51002,aligned,10,0.9546504723440906,0.009586567059159279,1.0,1.0
51002,aligned,11,0.9824757439807997,0.003474210388958454,1.0,1.0
51002,aligned,12,0.8720916055405892,0.031059743836522102,1.0,1.0
51002,aligned,13,0.9225941838080978,0.015501175075769424,0.8,1.0
51002,aligned,14,0.9915946981730624,0.0019184022676199675,1.0,1.0
51002,aligned,15,0.6978115224587194,0.0566328726708889,0.6,1.0
51002,aligned,16,0.9354008756333031,0.01410954911261797,1.0,1.0
51002,aligned,17,0.7866584820400224,0.03817801550030708,0.8,1.0
51002,aligned,18,0.9059934931745053,0.02029852196574211,0.8,1.0
51002,aligned,19,0.7546357282134569,0.04334767907857895,0.6,1.0
51002,aligned,20,0.8482533406353134,0.02887582778930664,0.8,1.0
51002,aligned,21,0.9655232140615498,0.007252970244735479,1.0,1.0
51002,aligned,22,0.88095136642435,0.023082310333848,0.8,1.0
51002,aligned,23,0.9744042150273996,0.005363570060580969,1.0,1.0
51002,aligned,24,0.9170499825984552,0.01889052242040634,1.0,1.0
51002,aligned,25,0.8620023901404914,0.028667807579040527,0.8,1.0
