generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
10,7,0.6835298118105642,18.0,5.0,231.590149974823,21.01243906021118,0.03363693785667419
11,0,0.6902187064621184,10.0,7.0,205.77062664031982,6.376084613800046,0.0344038827419281
11,1,0.6851379061628271,3.0,8.0,247.02724990844726,16.39247827529907,0.050383521437644956
11,2,0.6812015293924896,8.0,4.0,243.26868114471435,22.408128309249875,0.05756529402732849
11,3,0.6811115832240492,8.0,6.0,214.56753549575805,35.768673944473264,0.08296675291657447
11,4,0.6952644250128004,5.0,5.0,234.61292085647582,7.619261074066159,0.005
11,5,0.6945917807022731,11.0,6.0,244.6303635597229,8.11888151168823,0.030309550285339354
11,6,0.6888872022761238,13.0,7.0,279.2746120452881,11.243149566650388,0.01167511773109435
11,7,0.69124879527975,12.0,6.0,241.9095235824585,8.915612030029294,0.033994214057922356
12,0,0.6938059362217232,5.0,5.0,295.1600557327271,5.0,0.005
12,1,0.6945150824167111,12.0,6.0,290.2944284439087,5.0,0.005
12,2,0.691398027671708,12.0,6.0,257.86280212402346,6.981133747100827,0.06504932177066802
12,3,0.6900488522759191,15.0,6.0,261.20758829116824,13.473018932342526,0.025381354808807363
12,4,0.6830468524606138,13.0,5.0,208.9021342754364,22.91136198043823,0.06416472327709198
12,5,0.6951195868739375,8.0,6.0,187.72959349155425,13.046769428253171,0.04130613040924072
12,6,0.6997421817647087,9.0,6.0,230.0909417629242,5.0,0.0106670184135437
12,7,0.7020054033067491,12.0,4.0,252.47253475189208,5.0,0.01742574405670165
13,0,0.6967837692190101,15.0,5.0,143.5833960533142,5.0,0.03559543323516845
13,1,0.6991264259815216,13.0,5.0,231.09985647201538,5.0,0.05383518767356872
13,2,0.7046072961003692,15.0,6.0,270.5833679199219,5.0,0.0253267331123352
13,3,0.6924755296000727,11.0,7.0,222.88249430656433,8.24205570220947,0.02366805505752563
13,4,0.7020237137211693,11.0,6.0,226.02509913444518,5.0,0.018415789127349855
13,5,0.6967254425198943,8.0,6.0,197.08915112018585,10.687109756469724,0.029478530406951906
13,6,0.6838615161180496,3.0,7.0,218.87336072921752,17.275428104400632,0.029902879714965816
13,7,0.7029780939331761,8.0,7.0,238.0222445487976,5.0,0.026421747922897337
14,0,0.6986460839819024,15.0,7.0,242.05712375640869,5.0,0.005
14,1,0.695155480393657,12.0,6.0,290.18298444747927,5.0,0.00561539959907531
14,2,0.6950196616958689,10.0,6.0,267.22830352783205,5.0,0.010599838018417351
14,3,0.6960756932585328,21.0,8.0,264.46126518249514,5.0,0.02493963670730591
14,4,0.6950760485066306,12.0,6.0,233.1979447364807,5.0,0.036008332490921016
14,5,0.6868290269154089,17.0,7.0,275.57528791427615,5.997776317596433,0.03320551943778991
14,6,0.6991496424101017,9.0,7.0,271.86402616500857,5.0,0.005
14,7,0.6949879675441318,12.0,6.0,294.4236141204834,5.510038661956784,0.034941981554031366
15,0,0.6965100308700843,21.0,7.0,251.28500995635986,5.0,0.032141874551773066
15,1,0.6899468762124026,15.0,6.0,259.9324661254883,15.911187458038327,0.027373407602310176
15,2,0.6886428133646647,10.0,5.0,224.38803968429565,12.703158187866208,0.026821444749832155
15,3,0.6985953188604778,13.0,7.0,292.78409061431887,5.0,0.005
15,4,0.6976039966388985,21.0,7.0,230.588534450531,5.0,0.034086768150329586
15,5,0.7011306830688758,21.0,5.0,246.31152925491332,5.0,0.03732772898674011
15,6,0.6820758205652236,14.0,7.0,253.5334020614624,10.910312461853025,0.005
15,7,0.6896645328733656,11.0,7.0,274.67242059707644,9.610404300689694,0.005
16,0,0.699513628217909,19.0,5.0,212.03703937530517,5.0,0.022239778757095333
16,1,0.6751020717400092,26.0,5.0,227.68724975585937,10.18555812835693,0.06690909695625305
16,2,0.6991392311564198,18.0,4.0,215.67960438728332,5.312384891510007,0.08297703248262406
16,3,0.7005095850759083,23.0,6.0,220.01437244415283,5.0,0.04880776238441467
16,4,0.6935304741947738,18.0,7.0,274.59302005767825,5.0,0.02113544178009033
16,5,0.6895221969374904,26.0,6.0,263.412979221344,5.0,0.04473540914058685
16,6,0.6921866215820666,25.0,6.0,267.52018508911135,5.0,0.02440074515342712
16,7,0.6869571437217571,25.0,6.0,224.3984824180603,5.0,0.038220058202743525
17,0,0.6904602882597181,19.0,4.0,228.93505630493163,5.0,0.07802698296308518
17,1,0.6883165252208708,17.0,6.0,223.75520644187927,5.0,0.054287434935569756
17,2,0.6875163123563484,7.0,7.0,250.49287853240966,8.11778001785278,0.005359898328781115
17,3,0.6939741466663502,16.0,4.0,192.5190138578415,5.0,0.05571733546257019
17,4,0.6967741069087275,20.0,5.0,281.5420371055603,5.0,0.06701802742481232
17,5,0.6916453718476826,17.0,4.0,260.66944417953493,5.0,0.09473086819797755
17,6,0.6968373977917212,23.0,6.0,224.20790610313415,9.068795967102048,0.08199345451593398
17,7,0.698514759408103,22.0,6.0,200.70087966918945,5.0,0.08979368285089731
18,0,0.689847248064147,20.0,4.0,212.08993968963622,15.463849830627439,0.08390848842263221
18,1,0.6993134907660661,20.0,6.0,198.20694921016693,5.0,0.07524874937534332
18,2,0.7017557674204862,23.0,5.0,197.51946864128112,5.0,0.10770001542568207
18,3,0.6758647490210002,29.0,7.0,182.11767820119857,5.0,0.1306070638895035
18,4,0.6990482364981263,18.0,6.0,244.69783363342285,5.3875415802001925,0.06660392713546753
18,5,0.6657517004454577,30.0,4.0,264.2113834381104,5.0,0.12385044229030609
18,6,0.7005875101575145,23.0,5.0,224.885306930542,5.0,0.1109902052283287
18,7,0.6941228292606495,16.0,4.0,250.2985363960266,8.842975425720212,0.054343004345893856
19,0,0.6976718612511953,18.0,7.0,266.9838291168213,5.0,0.08895352744311094
19,1,0.7034804993867874,24.0,6.0,272.7805834770203,5.0,0.07794560325145722
19,2,0.6937839635654731,16.0,6.0,250.2878433227539,8.293391990661618,0.0645778192281723
19,3,0.6809035765020935,26.0,6.0,223.11745223999023,6.813823509216306,0.09634167273342609
