experiment,seed,encoder_validation_mse,plasticity_rule,key_mode,dropped_fraction,mask_index,dropped_units,lec_cue_accuracy,lec_mec_cosine,mec_position_accuracy,mec_cue_accuracy
lec_degradation,51002,0.026176869869232178,err2,normal,0.5,0,12,1.0,0.7961668968200684,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.5,0,12,,,0.24,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.5,1,12,1.0,0.8092190623283386,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.5,1,12,,,0.3,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.75,0,19,1.0,0.7693450450897217,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.75,0,19,,,0.08,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.75,1,19,1.0,0.7958714365959167,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.75,1,19,,,0.08,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.9,0,22,1.0,0.7919051647186279,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.9,0,22,,,0.06,1.0
lec_degradation,51002,0.026176869869232178,err2,normal,0.9,1,22,1.0,0.7279519438743591,,
mec_degradation,51002,0.026176869869232178,err2,normal,0.9,1,22,,,0.04,1.0
lec_degradation,51002,0.026176869869232178,err2,dense,0.0,0,0,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.0,0,0,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.0,1,0,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.0,1,0,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.25,0,6,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.25,0,6,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.25,1,6,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.25,1,6,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.5,0,12,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.5,0,12,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.5,1,12,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.5,1,12,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.75,0,19,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.75,0,19,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.75,1,19,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.75,1,19,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.9,0,22,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.9,0,22,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,err2,dense,0.9,1,22,0.5,0.2806476652622223,,
mec_degradation,51002,0.026176869869232178,err2,dense,0.9,1,22,,,0.02,0.5
