generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
26,2,0.0011969669722020626,5.0,3.773355484008789,25.328319668769836
26,3,0.0011938225652556866,5.0,3.9127683639526367,25.074471402913332
26,4,0.0011948848938724648,5.0,3.9018821716308594,25.07121809758246
26,5,0.0012016196657593052,5.0,3.782479763031006,24.96003738604486
26,6,0.0011893673023829858,5.0,3.901517391204834,25.446462593972683
27,0,0.001198134763399139,5.0,3.7941527366638184,25.260051731020212
27,1,0.0011924596910830587,5.0,3.925607204437256,25.580894015729427
27,2,0.0011929042423920084,5.0,3.8161468505859375,25.403445065021515
27,3,0.0011970133734090875,5.0,3.79300594329834,25.16311326995492
27,4,0.0011927690648008138,5.0,3.9051222801208496,25.277836453169584
27,5,0.0011904355196747929,5.0,3.9159727096557617,25.107967806980014
27,6,0.0011982307381307085,5.0,3.872964382171631,25.143602192401886
28,0,0.001204484113259241,5.0,4.025428295135498,25.49863178282976
28,1,0.0011943625868298113,5.0,3.919374942779541,25.42537808418274
28,2,0.0011924798115311812,5.0,3.9438223838806152,25.34305840730667
28,3,0.001204933039844036,5.0,4.020223617553711,25.256631318479776
28,4,0.001192987527853499,5.0,3.9095592498779297,25.298257526010275
28,5,0.0011956198237991582,5.0,3.934011459350586,25.39207436144352
28,6,0.0011938249711723377,5.0,3.9211297035217285,25.436298809945583
29,0,0.0011968444935822238,5.0,3.943185806274414,25.302191246300936
29,1,0.0012041302397847176,5.0,4.01331901550293,25.354386940598488
29,2,0.0011949190132630367,5.0,3.8919472694396973,25.289338435977697
29,3,0.0011908634138914447,5.0,3.9664316177368164,25.24159613996744
29,4,0.0011959841164449851,5.0,3.9316844940185547,25.360688753426075
29,5,0.0011969404004048556,5.0,3.9728236198425293,25.271497555077076
29,6,0.0011960688376954447,5.0,3.9309239387512207,25.374090187251568
30,0,0.0012043272824181865,5.0,3.9845824241638184,25.259472709149122
30,1,0.0012004674451115231,5.0,3.9867401123046875,25.245917234569788
30,2,0.001190129619014139,5.0,3.9351391792297363,25.24543946608901
30,3,0.0011923468264285475,5.0,3.9250969886779785,25.34426499158144
30,4,0.001198447144512708,5.0,3.9737677574157715,25.387593545019627
30,5,0.0011952908826060593,5.0,3.9426040649414062,25.14642215333879
