root_seed,key_mode,fraction,mask_index,output_cosine,identity,key_cosine,dropped_units
51019,normal,0.5,4,0.6834572345865023,0.2,0.474411925721108,25
51019,normal,0.5,5,0.6455334474440916,0.08,0.4826579285378861,25
51019,normal,0.5,6,0.7431422088363512,0.24,0.6254693912745217,25
51019,normal,0.5,7,0.6825046260514368,0.12,0.5834411025715903,25
51019,normal,0.5,8,0.6244888426567119,0.12,0.542506720403589,25
51019,normal,0.5,9,0.7196097823548603,0.14,0.5356359848144049,25
51019,normal,0.5,10,0.7248107115147316,0.2,0.48017758510466285,25
51019,normal,0.5,11,0.7239778641468433,0.22,0.49185155280584264,25
51019,normal,0.75,0,0.5378482954336256,0.04,0.47011186052828946,38
51019,normal,0.75,1,0.39265912875616465,0.06,0.3649852516895914,38
51019,normal,0.75,2,0.5223797924225302,0.06,0.475352792527316,38
51019,normal,0.75,3,0.5206887820887504,0.08,0.5352262213521551,38
51019,normal,0.75,4,0.624781722007938,0.1,0.412461486607584,38
51019,normal,0.75,5,0.4812469865252844,0.08,0.4407760810389862,38
51019,normal,0.75,6,0.4162662629349868,0.08,0.4445839463115475,38
51019,normal,0.75,7,0.4244695789168818,0.08,0.46769968953396485,38
51019,normal,0.75,8,0.5983406180028678,0.1,0.4527502908379079,38
51019,normal,0.75,9,0.4659727055024158,0.12,0.4218963089540088,38
51019,normal,0.75,10,0.5059281651500017,0.08,0.3865498999688477,38
51019,normal,0.75,11,0.5702142300818067,0.12,0.40992327258679784,38
51019,normal,0.9,0,0.49656588710363403,0.06,0.36035907479400314,45
51019,normal,0.9,1,0.4466002357592816,0.08,0.39716162124640947,45
51019,normal,0.9,2,0.24955660188608886,0.0,0.4087553543732259,45
51019,normal,0.9,3,0.493986261447412,0.02,0.43912371947163176,45
51019,normal,0.9,4,0.5354086368625404,0.1,0.4214619583858798,45
51019,normal,0.9,5,0.5082338647025875,0.08,0.42355050280986356,45
51019,normal,0.9,6,0.44227145006723717,0.02,0.33344769450916656,45
51019,normal,0.9,7,0.40273851938046185,0.02,0.4292733578005788,45
51019,normal,0.9,8,0.5097182857387944,0.04,0.3995277415555272,45
51019,normal,0.9,9,0.5004686392845697,0.06,0.43516881122674145,45
51019,normal,0.9,10,0.4402264596488364,0.06,0.43560195770852744,45
51019,normal,0.9,11,0.5067874661662478,0.06,0.3522241176291923,45
51019,shuffled,0.0,0,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,1,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,2,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,3,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,4,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,5,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,6,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,7,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,8,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,9,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,10,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.0,11,0.9331274034368817,0.64,1.0,0
51019,shuffled,0.25,0,0.867678983051594,0.44,0.7679509679216783,12
51019,shuffled,0.25,1,0.8240525579762182,0.38,0.752767302239905,12
51019,shuffled,0.25,2,0.8657674263935423,0.38,0.7089418370808117,12
51019,shuffled,0.25,3,0.8152649051327592,0.3,0.7383329641733244,12
51019,shuffled,0.25,4,0.8020030074633757,0.28,0.7156951402723928,12
51019,shuffled,0.25,5,0.8541197685104859,0.32,0.7236989653693331,12
51019,shuffled,0.25,6,0.7845154465355665,0.44,0.7364521946991617,12
51019,shuffled,0.25,7,0.7769375926127907,0.34,0.7361861070872614,12
51019,shuffled,0.25,8,0.810149589729665,0.38,0.7514518865953534,12
51019,shuffled,0.25,9,0.8234876887894061,0.38,0.7065127001087926,12
51019,shuffled,0.25,10,0.8271233287483962,0.36,0.6909465423089429,12
51019,shuffled,0.25,11,0.808549196823809,0.34,0.7090228905847507,12
51019,shuffled,0.5,0,0.6817651918440799,0.16,0.6009585443470739,25
51019,shuffled,0.5,1,0.7582483061600904,0.24,0.5584645366760014,25
51019,shuffled,0.5,2,0.6591183785026167,0.22,0.5345447520313027,25
51019,shuffled,0.5,3,0.590948112777963,0.2,0.5063861067606967,25
51019,shuffled,0.5,4,0.6673750603340005,0.22,0.5249829143745354,25
51019,shuffled,0.5,5,0.7216915986468925,0.16,0.5399919041391908,25
51019,shuffled,0.5,6,0.7894136283307805,0.2,0.6253168995628671,25
51019,shuffled,0.5,7,0.5738809661965266,0.14,0.4529678720435221,25
51019,shuffled,0.5,8,0.5610677964266825,0.1,0.4801795374157915,25
51019,shuffled,0.5,9,0.6042895488443476,0.16,0.47737319547855883,25
51019,shuffled,0.5,10,0.7182495419338756,0.08,0.5416559031431546,25
51019,shuffled,0.5,11,0.6044452578090579,0.06,0.49598314685365097,25
51019,shuffled,0.75,0,0.4523957761092208,0.02,0.37376925288266777,38
51019,shuffled,0.75,1,0.3847240382672938,0.06,0.42582285055695374,38
51019,shuffled,0.75,2,0.3471970391390172,0.04,0.3564678906102905,38
51019,shuffled,0.75,3,0.38195975362741913,0.06,0.4398732235897529,38
51019,shuffled,0.75,4,0.3938393409886629,0.04,0.43321855335451914,38
51019,shuffled,0.75,5,0.5488072030186734,0.16,0.41586607585816393,38
51019,shuffled,0.75,6,0.3581196671718925,0.06,0.3604018442079553,38
51019,shuffled,0.75,7,0.49455975828348187,0.08,0.3702082253488057,38
51019,shuffled,0.75,8,0.44649241234559783,0.12,0.4122132867060582,38
51019,shuffled,0.75,9,0.4419721675048367,0.06,0.32748393694685374,38
51019,shuffled,0.75,10,0.4484001396511209,0.08,0.37763810490799266,38
51019,shuffled,0.75,11,0.37600146723603073,0.0,0.33028314936630115,38
