rule,seed,capacity,plasticity_label,ae_validation_mse,clean_pair_accuracy,degraded_pair_accuracy,collision_rate,recruitment_fraction,fraction_spatial,fraction_cue-general,fraction_cue-specific,fraction_mixed,fraction_neutral
base,53002,29,Instructive-driven,4.053712387985797e-08,0.3103448275862069,0.13793103448275862,0.6206896551724138,0.2,0.86,0.0,0.0,0.12,0.02
base,53002,30,Instructive-driven,4.053712387985797e-08,0.26666666666666666,0.11666666666666667,0.6333333333333333,0.2,0.86,0.0,0.0,0.12,0.02
base,53002,31,Instructive-driven,4.053712387985797e-08,0.3870967741935484,0.10483870967741936,0.6451612903225806,0.2,0.86,0.0,0.0,0.14,0.0
base,53002,32,Instructive-driven,4.053712387985797e-08,0.4375,0.1015625,0.65625,0.2,0.88,0.0,0.0,0.12,0.0
base,53002,33,Instructive-driven,4.053712387985797e-08,0.42424242424242425,0.09848484848484848,0.6666666666666667,0.2,0.88,0.0,0.0,0.12,0.0
base,53002,34,Instructive-driven,4.053712387985797e-08,0.2647058823529412,0.058823529411764705,0.6764705882352942,0.2,0.86,0.0,0.0,0.14,0.0
base,53002,35,Instructive-driven,4.053712387985797e-08,0.3142857142857143,0.08571428571428572,0.6857142857142857,0.2,0.86,0.0,0.0,0.14,0.0
base,53002,36,Instructive-driven,4.053712387985797e-08,0.3888888888888889,0.0763888888888889,0.6666666666666667,0.22,0.88,0.0,0.0,0.1,0.02
base,53002,37,Instructive-driven,4.053712387985797e-08,0.35135135135135137,0.08108108108108109,0.6756756756756757,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,38,Instructive-driven,4.053712387985797e-08,0.23684210526315788,0.06578947368421052,0.6842105263157895,0.22,0.86,0.0,0.0,0.14,0.0
base,53002,39,Instructive-driven,4.053712387985797e-08,0.2564102564102564,0.08333333333333333,0.6923076923076923,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,40,Instructive-driven,4.053712387985797e-08,0.35,0.0875,0.7,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,41,Instructive-driven,4.053712387985797e-08,0.17073170731707318,0.07926829268292683,0.7073170731707317,0.22,0.86,0.0,0.0,0.14,0.0
base,53002,42,Instructive-driven,4.053712387985797e-08,0.16666666666666666,0.05357142857142857,0.7142857142857143,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,43,Instructive-driven,4.053712387985797e-08,0.32558139534883723,0.0755813953488372,0.7209302325581395,0.22,0.82,0.0,0.0,0.18,0.0
base,53002,44,Instructive-driven,4.053712387985797e-08,0.2727272727272727,0.07386363636363637,0.7045454545454546,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,45,Instructive-driven,4.053712387985797e-08,0.24444444444444444,0.08888888888888889,0.7111111111111111,0.22,0.84,0.0,0.0,0.16,0.0
base,53002,46,Instructive-driven,4.053712387985797e-08,0.2826086956521739,0.10869565217391304,0.7173913043478262,0.22,0.86,0.0,0.0,0.14,0.0
base,53002,47,Instructive-driven,4.053712387985797e-08,0.1702127659574468,0.06914893617021277,0.7021276595744681,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,48,Instructive-driven,4.053712387985797e-08,0.2708333333333333,0.08333333333333333,0.7083333333333333,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,49,Instructive-driven,4.053712387985797e-08,0.22448979591836735,0.09183673469387756,0.7142857142857143,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,50,Instructive-driven,4.053712387985797e-08,0.24,0.065,0.72,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,51,Instructive-driven,4.053712387985797e-08,0.17647058823529413,0.058823529411764705,0.7254901960784313,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,52,Instructive-driven,4.053712387985797e-08,0.23076923076923078,0.0673076923076923,0.7307692307692308,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,53,Instructive-driven,4.053712387985797e-08,0.2641509433962264,0.07075471698113207,0.7358490566037736,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,54,Instructive-driven,4.053712387985797e-08,0.24074074074074073,0.06481481481481481,0.7407407407407407,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,55,Instructive-driven,4.053712387985797e-08,0.2727272727272727,0.05454545454545454,0.7454545454545455,0.24,0.82,0.0,0.0,0.18,0.0
base,53002,56,Instructive-driven,4.053712387985797e-08,0.21428571428571427,0.05357142857142857,0.75,0.24,0.9,0.0,0.0,0.1,0.0
base,53002,57,Instructive-driven,4.053712387985797e-08,0.19298245614035087,0.043859649122807015,0.7543859649122807,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,58,Instructive-driven,4.053712387985797e-08,0.1896551724137931,0.05172413793103448,0.7586206896551724,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,59,Instructive-driven,4.053712387985797e-08,0.1864406779661017,0.05084745762711865,0.7627118644067796,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,60,Instructive-driven,4.053712387985797e-08,0.4166666666666667,0.12083333333333333,0.7666666666666666,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,61,Instructive-driven,4.053712387985797e-08,0.4098360655737705,0.11475409836065574,0.7704918032786885,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,62,Instructive-driven,4.053712387985797e-08,0.5967741935483871,0.17338709677419356,0.7741935483870968,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,63,Instructive-driven,4.053712387985797e-08,0.47619047619047616,0.09126984126984126,0.7777777777777778,0.24,0.84,0.0,0.0,0.16,0.0
base,53002,64,Instructive-driven,4.053712387985797e-08,0.4375,0.109375,0.78125,0.24,0.86,0.0,0.0,0.14,0.0
base,53002,65,Instructive-driven,4.053712387985797e-08,0.49230769230769234,0.1576923076923077,0.7692307692307692,0.24,0.88,0.0,0.0,0.12,0.0
base,53002,66,Instructive-driven,4.053712387985797e-08,0.2727272727272727,0.09090909090909091,0.7727272727272727,0.24,0.82,0.0,0.0,0.18,0.0
base,53002,67,Instructive-driven,4.053712387985797e-08,0.26865671641791045,0.08955223880597014,0.7611940298507462,0.24,0.88,0.0,0.0,0.12,0.0
base,53002,68,Instructive-driven,4.053712387985797e-08,0.16176470588235295,0.05514705882352941,0.7647058823529411,0.24,0.92,0.0,0.0,0.08,0.0
base,53002,69,Instructive-driven,4.053712387985797e-08,0.14492753623188406,0.06521739130434782,0.7681159420289855,0.24,0.9,0.0,0.0,0.1,0.0
base,53002,70,Instructive-driven,4.053712387985797e-08,0.17142857142857143,0.06785714285714285,0.7714285714285715,0.24,0.9,0.0,0.0,0.1,0.0
base,53002,71,Instructive-driven,4.053712387985797e-08,0.19718309859154928,0.08098591549295775,0.7746478873239436,0.24,0.88,0.0,0.0,0.12,0.0
base,53002,72,Instructive-driven,4.053712387985797e-08,0.18055555555555555,0.06944444444444445,0.7638888888888888,0.26,0.9,0.0,0.0,0.1,0.0
base,53002,73,Instructive-driven,4.053712387985797e-08,0.1780821917808219,0.06506849315068493,0.7671232876712328,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,74,Instructive-driven,4.053712387985797e-08,0.3108108108108108,0.0777027027027027,0.7702702702702703,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,75,Instructive-driven,4.053712387985797e-08,0.2,0.07666666666666666,0.7733333333333333,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,76,Instructive-driven,4.053712387985797e-08,0.2236842105263158,0.09210526315789473,0.7763157894736842,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,77,Instructive-driven,4.053712387985797e-08,0.3116883116883117,0.11038961038961038,0.7792207792207793,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,78,Instructive-driven,4.053712387985797e-08,0.23076923076923078,0.08333333333333333,0.782051282051282,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,79,Instructive-driven,4.053712387985797e-08,0.12658227848101267,0.06329113924050633,0.7848101265822784,0.26,0.9,0.0,0.0,0.1,0.0
base,53002,80,Instructive-driven,4.053712387985797e-08,0.4375,0.1625,0.7875,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,81,Instructive-driven,4.053712387985797e-08,0.38271604938271603,0.14814814814814814,0.7901234567901234,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,82,Instructive-driven,4.053712387985797e-08,0.524390243902439,0.18902439024390244,0.7926829268292683,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,83,Instructive-driven,4.053712387985797e-08,0.4457831325301205,0.1536144578313253,0.7951807228915663,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,84,Instructive-driven,4.053712387985797e-08,0.5357142857142857,0.19940476190476192,0.7976190476190477,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,85,Instructive-driven,4.053712387985797e-08,0.4823529411764706,0.17647058823529413,0.8,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,86,Instructive-driven,4.053712387985797e-08,0.5581395348837209,0.1744186046511628,0.8023255813953488,0.26,0.84,0.0,0.0,0.16,0.0
base,53002,87,Instructive-driven,4.053712387985797e-08,0.4942528735632184,0.16666666666666666,0.8045977011494253,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,88,Instructive-driven,4.053712387985797e-08,0.5454545454545454,0.16193181818181818,0.8068181818181819,0.26,0.88,0.0,0.0,0.12,0.0
base,53002,89,Instructive-driven,4.053712387985797e-08,0.3258426966292135,0.1404494382022472,0.8089887640449438,0.26,0.86,0.0,0.0,0.14,0.0
base,53002,90,Instructive-driven,4.053712387985797e-08,0.36666666666666664,0.14722222222222223,0.8111111111111111,0.26,0.86,0.0,0.0,0.14,0.0
base,53003,1,Instructive-driven,6.4993934678625465e-09,1.0,1.0,0.0,0.04,0.58,0.0,0.0,0.26,0.16
base,53003,2,Instructive-driven,6.4993934678625465e-09,1.0,0.5,0.0,0.06,0.82,0.0,0.0,0.18,0.0
base,53003,3,Instructive-driven,6.4993934678625465e-09,1.0,0.4166666666666667,0.33333333333333337,0.06,0.98,0.0,0.0,0.02,0.0
base,53003,4,Instructive-driven,6.4993934678625465e-09,1.0,0.5,0.25,0.08,0.98,0.0,0.0,0.02,0.0
