rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,3,43,mixed,0.11054449,0.056985937,0.006124564,0.1125399,0.040311433
base,53001,3,44,mixed,0.006604158,0.0033576572,0.0003931743,0.0018246062,0.0032266683
base,53001,3,45,cue-specific,0.0026545257,0.0012011074,0.0007308889,0.0045734416,0.0012787308
base,53001,3,46,spatial,0.021213427,0.018479101,4.4603453e-06,0.00065566076,0.0027208088
base,53001,3,47,spatial,0.07083715,0.060924,0.00088446296,0.009588954,0.008955579
base,53001,3,48,spatial,0.090106785,0.07700986,0.0004183579,0.025108332,0.011286719
base,53001,3,49,mixed,0.008444131,0.0048930193,0.00025325126,0.0008108529,0.0034828477
base,53001,4,0,cue-specific,0.039947562,0.013968896,0.0063410904,0.069146894,0.018710023
base,53001,4,1,spatial,0.04671608,0.03766665,0.0006612977,0.00321474,0.00835677
base,53001,4,2,spatial,0.10141999,0.08960683,0.003560943,0.002263922,0.0116974525
base,53001,4,3,mixed,0.0067712045,0.0029855368,5.181258e-05,0.0033672291,0.003582315
base,53001,4,4,mixed,0.003057779,0.0011715882,1.0586842e-05,0.001115772,0.0017353889
base,53001,4,5,cue-specific,0.0076504964,0.0046728,0.002381505,0.010892076,0.0027056255
base,53001,4,6,spatial,0.15907568,0.14216287,0.0017832636,0.018864354,0.016444094
base,53001,4,7,spatial,0.12080033,0.104423836,9.416943e-05,0.0017079214,0.015679555
base,53001,4,8,spatial,0.091789216,0.07851689,0.0013679094,0.015605421,0.011150127
base,53001,4,9,spatial,0.021931972,0.015495521,8.72929e-05,0.0006346483,0.006041983
base,53001,4,10,mixed,0.008796133,0.0050608926,0.00056395767,0.0026471657,0.0034808423
base,53001,4,11,mixed,0.08136916,0.041342206,2.0946854e-05,0.0028316395,0.02923918
base,53001,4,12,mixed,0.028031582,0.018555842,0.00013212186,0.013631041,0.0086778
base,53001,4,13,spatial,0.026281508,0.020349117,0.0001131345,0.0057509807,0.0055077993
base,53001,4,14,mixed,0.008284803,0.004513871,0.00019213221,0.0058190217,0.003505789
base,53001,4,15,cue-specific,0.064457275,0.031089058,0.009214444,0.06484498,0.02539763
base,53001,4,16,spatial,0.01732857,0.012239609,1.3260991e-05,9.489372e-05,0.0049201827
base,53001,4,17,spatial,0.10026311,0.07730637,0.0012208545,0.0026170409,0.020895189
base,53001,4,18,spatial,0.02624109,0.02070754,0.00020096106,0.0013510968,0.0053689624
base,53001,4,19,spatial,0.029232262,0.022341745,0.00011239338,0.002418685,0.006801082
base,53001,4,20,mixed,0.015202782,0.007267735,0.00018525367,0.0026128828,0.0068866415
base,53001,4,21,spatial,0.06336406,0.05566774,0.0009508379,0.004059565,0.0070234286
base,53001,4,22,mixed,0.01991157,0.012048903,0.00020666087,0.0020588373,0.007305071
base,53001,4,23,spatial,0.02301783,0.017164348,5.6386652e-06,0.0016572786,0.005584459
base,53001,4,24,mixed,0.017518885,0.009847701,0.0035855528,0.013650824,0.0073825778
base,53001,4,25,spatial,0.13162646,0.11980807,0.0046769064,0.01601568,0.011766169
base,53001,4,26,spatial,0.152858,0.13018498,0.002037145,0.0054605207,0.019745238
base,53001,4,27,spatial,0.12479963,0.11117827,0.010272659,0.008438938,0.012363459
base,53001,4,28,spatial,0.0657738,0.05381187,0.0022400315,0.003924133,0.011161908
base,53001,4,29,mixed,0.0069464915,0.003284204,3.1492582e-05,0.0009255389,0.0032258192
base,53001,4,30,spatial,0.0606918,0.049309086,0.0008908556,0.0049797976,0.01038535
base,53001,4,31,spatial,0.011701517,0.008801889,0.00039074008,0.0017142242,0.0028789365
base,53001,4,32,spatial,0.06665283,0.0552498,0.00047686082,0.007224069,0.010300141
base,53001,4,33,cue-specific,0.008286482,0.0036339816,0.00131078,0.0116895195,0.00448963
base,53001,4,34,mixed,0.0011393892,0.00041473535,2.70061e-08,0.00014161559,0.00069576973
base,53001,4,35,mixed,0.005715023,0.0025632756,0.0002977411,0.0022481182,0.0029357735
base,53001,4,36,mixed,0.0127980625,0.0044212732,0.00082184747,0.0034492526,0.0067103845
base,53001,4,37,mixed,0.07729844,0.05639977,0.0042743534,0.032113403,0.017814988
base,53001,4,38,spatial,0.07196391,0.06065202,0.00056977995,0.0026060399,0.0106749805
base,53001,4,39,spatial,0.034420013,0.026062649,0.00040446635,0.007931489,0.007535726
base,53001,4,40,mixed,0.017710276,0.010744813,0.0021776422,0.0032288304,0.0059197657
base,53001,4,41,spatial,0.07957557,0.0677342,0.0005235375,0.0014120556,0.0113580115
base,53001,4,42,spatial,0.019147458,0.0134386085,0.00017860372,0.0061102817,0.0054093986
base,53001,4,43,mixed,0.07397636,0.033263937,0.0055747055,0.05873761,0.031470124
base,53001,4,44,mixed,0.010178872,0.004441593,0.00036094102,0.0020895128,0.0056524468
base,53001,4,45,cue-specific,0.0044223876,0.002091019,3.832987e-05,0.0057146703,0.0020297167
base,53001,4,46,spatial,0.032838535,0.027611172,6.996612e-05,0.00083955337,0.0051291496
base,53001,4,47,spatial,0.09316428,0.08000633,0.00012905958,0.006364289,0.012447383
base,53001,4,48,spatial,0.07581128,0.06281111,0.00076685444,0.011429651,0.011564089
base,53001,4,49,mixed,0.010113312,0.004996384,0.00021214434,0.0012583522,0.005020597
base,53001,5,0,mixed,0.05503768,0.03130686,0.010296737,0.04838272,0.01826573
base,53001,5,1,spatial,0.05928069,0.04825205,0.0019845932,0.008257367,0.01034579
base,53001,5,2,spatial,0.06907157,0.059262533,0.0017005737,0.0043353084,0.009728481
base,53001,5,3,mixed,0.004363143,0.0010775388,5.1916966e-05,0.003036084,0.0031380616
base,53001,5,4,mixed,0.0040614787,0.001547738,3.13106e-06,0.0016270261,0.0024154207
base,53001,5,5,spatial,0.022197284,0.017712139,8.637006e-05,0.006827253,0.0043920637
base,53001,5,6,spatial,0.14710373,0.12921776,0.00027962818,0.028496971,0.017403733
base,53001,5,7,spatial,0.11727156,0.10125003,1.13171645e-05,0.0010408675,0.015493309
base,53001,5,8,spatial,0.09452576,0.079525426,0.00029101418,0.011143061,0.014214884
base,53001,5,9,mixed,0.010310973,0.005617585,0.00091687986,0.0029921092,0.0044505866
base,53001,5,10,mixed,0.0097671,0.0054850797,0.00012886903,0.0076718926,0.0039642546
base,53001,5,11,mixed,0.06938604,0.035979323,0.0022766087,0.008156593,0.02487144
base,53001,5,12,mixed,0.025645738,0.017217724,0.0027722395,0.012105727,0.007884725
base,53001,5,13,spatial,0.05918626,0.049479507,0.0002406736,0.008283229,0.009201513
base,53001,5,14,mixed,0.0045383107,0.0017755238,2.2559354e-05,0.0036763453,0.0025600193
base,53001,5,15,mixed,0.062140305,0.034037434,0.016883422,0.058950067,0.022435077
base,53001,5,16,spatial,0.030513182,0.021820484,0.00021210696,0.00052479806,0.008420156
base,53001,5,17,spatial,0.0841102,0.06360101,0.0001363698,0.0049430947,0.018496448
base,53001,5,18,spatial,0.04068458,0.032724924,0.00021340892,0.0012041833,0.00792417
base,53001,5,19,spatial,0.03160162,0.02520946,0.0028790568,0.0058213207,0.0063079107
base,53001,5,20,mixed,0.013377684,0.00503053,1.2136808e-06,0.0021734277,0.0071928436
base,53001,5,21,spatial,0.043666128,0.03809363,0.0008192273,0.004124718,0.005367557
base,53001,5,22,mixed,0.017793925,0.009912054,0.003225642,0.008649086,0.0074099433
base,53001,5,23,spatial,0.0260606,0.019369084,0.00042143182,0.0028594781,0.0060659414
base,53001,5,24,cue-specific,0.01155322,0.0059661423,0.0046327077,0.014010951,0.005539254
base,53001,5,25,spatial,0.14625822,0.1321444,0.0031006269,0.0123594515,0.0138828475
base,53001,5,26,spatial,0.14335786,0.11747324,0.0018046506,0.0028643091,0.023547217
base,53001,5,27,spatial,0.1304278,0.11538134,0.007723235,0.00997191,0.014768929
base,53001,5,28,spatial,0.07279525,0.058443427,0.0026905707,0.0029880686,0.013899881
base,53001,5,29,mixed,0.0042225593,0.001313386,5.0875704e-05,0.0005200275,0.0025700515
base,53001,5,30,spatial,0.06888435,0.05691046,0.00076903147,0.0074147517,0.01102007
base,53001,5,31,spatial,0.0071231197,0.004739088,0.00037841473,0.0023067142,0.0023647167
base,53001,5,32,spatial,0.0497374,0.03790426,0.00012447943,0.01728443,0.010402544
