root_seed,key_mode,fraction,mask_index,dropped_lec_units,cue_accuracy,mec_cosine,output_cosine,key_cosine
51001,identity,0.0,2,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,3,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,4,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,5,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,6,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,7,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,8,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,9,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,10,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.0,11,0,1.0,0.9395449860476041,0.971398292654658,1.0
51001,identity,0.25,0,6,1.0,0.946625366117012,0.9725843145787212,0.9594275337888462
51001,identity,0.25,1,6,1.0,0.9588550997107693,0.9769743934989346,0.9513238670618317
51001,identity,0.25,2,6,1.0,0.9588550700851735,0.9769743860364484,0.9513238670618317
51001,identity,0.25,3,6,1.0,0.9588550732899808,0.9769743867416136,0.9513238670618317
51001,identity,0.25,4,6,1.0,0.9541871940074254,0.975619719190815,0.9597264673985864
51001,identity,0.25,5,6,1.0,0.9588550461179196,0.9769743782257713,0.9513238670618317
51001,identity,0.25,6,6,1.0,0.9613106920078444,0.977772477705158,0.9509288727110924
51001,identity,0.25,7,6,1.0,0.9588550829366956,0.9769743923947337,0.9513238670618317
51001,identity,0.25,8,6,1.0,0.9616840660131338,0.9775886662477323,0.9500584457782864
51001,identity,0.25,9,6,1.0,0.9436441800402301,0.9672741814226962,0.9506969521561944
51001,identity,0.25,10,6,1.0,0.9466253619744458,0.9725843053160155,0.9594275337888462
51001,identity,0.25,11,6,1.0,0.9530174706570557,0.9745015423720613,0.9512469956296775
51001,identity,0.5,0,12,1.0,0.9577788799781424,0.9704406710940386,0.9073757998755542
51001,identity,0.5,1,12,1.0,0.9554887354550857,0.95901469350895,0.9075617864409629
51001,identity,0.5,2,12,1.0,0.9552383013678059,0.9684802891852285,0.8978726796983074
51001,identity,0.5,3,12,1.0,0.9498643916766568,0.9206570207027768,0.9061739527741343
51001,identity,0.5,4,12,1.0,0.9532951920962107,0.9432681203716183,0.90716294419347
51001,identity,0.5,5,12,1.0,0.9577789306145209,0.9704406809423809,0.9073757998755542
51001,identity,0.5,6,12,1.0,0.9544199319188206,0.9432851894272344,0.8982582630247458
51001,identity,0.5,7,12,1.0,0.9532953088856314,0.9432681301490002,0.90716294419347
51001,identity,0.5,8,12,1.0,0.9554885886906002,0.9590146714094775,0.9075617864409629
51001,identity,0.5,9,12,1.0,0.9553529215528639,0.9583225599468114,0.8983715914194914
51001,identity,0.5,10,12,1.0,0.953295375241145,0.9432681368415929,0.90716294419347
51001,identity,0.5,11,12,1.0,0.9498644437997962,0.9206571086573483,0.9061739527741344
51001,identity,0.75,0,19,1.0,0.9436767154606565,0.8900669981315517,0.8398644223379059
51001,identity,0.75,1,19,1.0,0.9410742180624303,0.9221027448308229,0.83773804177993
