root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
31005,base,0.75,3,0.8259944662906065,0.14,38
31005,base,0.75,4,0.8386280550651982,0.12,38
31005,base,0.75,5,0.7507989845983961,0.06,38
31005,base,0.75,6,0.4905734714326554,0.06,38
31005,base,0.75,7,0.8004195397106746,0.1,38
31005,base,0.9,0,0.5688727599440843,0.08,45
31005,base,0.9,1,0.505274538045956,0.04,45
31005,base,0.9,2,0.5871799520762669,0.04,45
31005,base,0.9,3,0.6507032683275865,0.08,45
31005,base,0.9,4,0.4111770039984885,0.08,45
31005,base,0.9,5,0.5600716341614571,0.08,45
31005,base,0.9,6,0.510591218706977,0.04,45
31005,base,0.9,7,0.7453535221716838,0.1,45
31005,err2,0.0,0,0.9624059552024542,0.8,0
31005,err2,0.0,1,0.9624059552024542,0.8,0
31005,err2,0.0,2,0.9624059552024542,0.8,0
31005,err2,0.0,3,0.9624059552024542,0.8,0
31005,err2,0.0,4,0.9624059552024542,0.8,0
31005,err2,0.0,5,0.9624059552024542,0.8,0
31005,err2,0.0,6,0.9624059552024542,0.8,0
31005,err2,0.0,7,0.9624059552024542,0.8,0
31005,err2,0.25,0,0.8536392498705979,0.38,12
31005,err2,0.25,1,0.8621878675450054,0.46,12
31005,err2,0.25,2,0.8408634323775541,0.26,12
31005,err2,0.25,3,0.8380678037260545,0.46,12
31005,err2,0.25,4,0.7839611018504807,0.28,12
31005,err2,0.25,5,0.8766499430120941,0.38,12
31005,err2,0.25,6,0.8102629554967125,0.44,12
31005,err2,0.25,7,0.8319425436452412,0.4,12
31005,err2,0.5,0,0.7475499363711349,0.14,25
31005,err2,0.5,1,0.8256530523297725,0.3,25
31005,err2,0.5,2,0.7568723785524796,0.28,25
31005,err2,0.5,3,0.6715963503627543,0.18,25
31005,err2,0.5,4,0.700003648001543,0.24,25
31005,err2,0.5,5,0.7330724702423506,0.38,25
31005,err2,0.5,6,0.6576494324352419,0.08,25
31005,err2,0.5,7,0.6780400644830077,0.16,25
31005,err2,0.75,0,0.4311433307251451,0.02,38
31005,err2,0.75,1,0.44361682620751774,0.14,38
31005,err2,0.75,2,0.5779245506806076,0.1,38
31005,err2,0.75,3,0.5404226340340115,0.1,38
31005,err2,0.75,4,0.48633396230329423,0.1,38
31005,err2,0.75,5,0.6312333386516422,0.12,38
31005,err2,0.75,6,0.43743151150259396,0.12,38
31005,err2,0.75,7,0.5060732393887213,0.04,38
31005,err2,0.9,0,0.4139809578084077,0.06,45
31005,err2,0.9,1,0.4885265990490522,0.04,45
31005,err2,0.9,2,0.45620719735473925,0.04,45
31005,err2,0.9,3,0.2605696881869519,0.02,45
31005,err2,0.9,4,0.3258268191200693,0.02,45
31005,err2,0.9,5,0.5352371261392869,0.1,45
31005,err2,0.9,6,0.2937742226205487,0.04,45
31005,err2,0.9,7,0.4684636542315062,0.04,45
31006,base,0.0,0,0.8671180242959977,0.1,0
31006,base,0.0,1,0.8671180242959977,0.1,0
31006,base,0.0,2,0.8671180242959977,0.1,0
31006,base,0.0,3,0.8671180242959977,0.1,0
31006,base,0.0,4,0.8671180242959977,0.1,0
31006,base,0.0,5,0.8671180242959977,0.1,0
31006,base,0.0,6,0.8671180242959977,0.1,0
31006,base,0.0,7,0.8671180242959977,0.1,0
31006,base,0.25,0,0.846465504652909,0.16,12
31006,base,0.25,1,0.8579582830921292,0.12,12
31006,base,0.25,2,0.8194599840834936,0.1,12
31006,base,0.25,3,0.8144640491222646,0.22,12
31006,base,0.25,4,0.8618512069496819,0.16,12
31006,base,0.25,5,0.8739100716108209,0.18,12
31006,base,0.25,6,0.8610729957003894,0.08,12
31006,base,0.25,7,0.7804134364021593,0.12,12
31006,base,0.5,0,0.8537213879105344,0.12,25
31006,base,0.5,1,0.8369823525958191,0.1,25
31006,base,0.5,2,0.8622547245933597,0.14,25
31006,base,0.5,3,0.8559457928476243,0.22,25
31006,base,0.5,4,0.8236910816821501,0.1,25
31006,base,0.5,5,0.8509577538896981,0.12,25
31006,base,0.5,6,0.8525261022287008,0.14,25
31006,base,0.5,7,0.8644494247018593,0.2,25
31006,base,0.75,0,0.8098885832655605,0.14,38
31006,base,0.75,1,0.661757347730951,0.14,38
31006,base,0.75,2,0.8407970217435822,0.14,38
31006,base,0.75,3,0.6773396091475178,0.12,38
31006,base,0.75,4,0.8077271119417334,0.1,38
31006,base,0.75,5,0.5469332273617256,0.08,38
31006,base,0.75,6,0.7677187446078344,0.12,38
31006,base,0.75,7,0.754072495207644,0.08,38
31006,base,0.9,0,0.762777066038041,0.1,45
31006,base,0.9,1,0.43953007570534736,0.04,45
31006,base,0.9,2,0.8030383464783284,0.12,45
31006,base,0.9,3,0.6692145175500657,0.08,45
31006,base,0.9,4,0.5496183883799219,0.1,45
31006,base,0.9,5,0.30916007245979793,0.04,45
31006,base,0.9,6,0.740826037275713,0.06,45
31006,base,0.9,7,0.725327519854869,0.12,45
31006,err2,0.0,0,0.9573253351462726,0.68,0
31006,err2,0.0,1,0.9573253351462726,0.68,0
31006,err2,0.0,2,0.9573253351462726,0.68,0
31006,err2,0.0,3,0.9573253351462726,0.68,0
31006,err2,0.0,4,0.9573253351462726,0.68,0
31006,err2,0.0,5,0.9573253351462726,0.68,0
31006,err2,0.0,6,0.9573253351462726,0.68,0
31006,err2,0.0,7,0.9573253351462726,0.68,0
31006,err2,0.25,0,0.8860073060309779,0.48,12
31006,err2,0.25,1,0.8640227651220539,0.28,12
31006,err2,0.25,2,0.8376014778610551,0.34,12
31006,err2,0.25,3,0.8562394930741397,0.44,12
31006,err2,0.25,4,0.8423347631337259,0.48,12
31006,err2,0.25,5,0.8411231104083879,0.44,12
31006,err2,0.25,6,0.8325477106693484,0.3,12
31006,err2,0.25,7,0.8766613714492862,0.44,12
31006,err2,0.5,0,0.7574503975600001,0.2,25
31006,err2,0.5,1,0.7572544103201075,0.2,25
31006,err2,0.5,2,0.6273245000357076,0.12,25
31006,err2,0.5,3,0.6453886217802487,0.1,25
31006,err2,0.5,4,0.7287712614043289,0.14,25
31006,err2,0.5,5,0.598047826900565,0.16,25
31006,err2,0.5,6,0.6012982461035901,0.18,25
31006,err2,0.5,7,0.7451205694191657,0.18,25
