rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
err2,53001,1,25,mixed,0.022383688,0.022383688,0.025336811,0.0043770876,0.0
err2,53001,1,26,spatial,0.012980485,0.012980485,0.0018180953,0.0022299746,0.0
err2,53001,1,27,spatial,0.011060003,0.011060003,0.0004409583,0.001081116,0.0
err2,53001,1,28,mixed,0.008467771,0.008467771,0.0012159527,0.010316753,0.0
err2,53001,1,29,mixed,0.004368571,0.004368571,0.0034554247,5.911888e-06,0.0
err2,53001,1,30,cue-general,0.003084388,0.003084388,0.00846902,6.522666e-06,0.0
err2,53001,1,31,cue-general,0.0038342867,0.0038342867,0.011131363,0.0004172089,0.0
err2,53001,1,32,cue-general,0.005953194,0.005953194,0.014057575,0.00030205582,0.0
err2,53001,1,33,neutral,0.0003231598,0.0003231598,0.00020700337,8.381564e-06,0.0
err2,53001,1,34,cue-general,0.004423121,0.004423121,0.009515913,1.1684038e-05,0.0
err2,53001,1,35,spatial,0.013526803,0.013526803,0.0014722282,0.005984672,0.0
err2,53001,1,36,mixed,0.008157217,0.008157217,0.0012526164,0.004739976,0.0
err2,53001,1,37,spatial,0.005244694,0.005244694,0.0001518687,0.0020826957,0.0
err2,53001,1,38,spatial,0.0057499246,0.0057499246,0.00040690356,0.0014532368,0.0
err2,53001,1,39,mixed,0.0028728233,0.0028728233,0.0016344627,0.002863318,0.0
err2,53001,1,40,spatial,0.022171866,0.022171866,3.8719245e-05,0.0062150233,0.0
err2,53001,1,41,cue-general,0.003039345,0.003039345,0.007237011,2.861474e-05,0.0
err2,53001,1,42,cue-general,0.004615253,0.004615253,0.00995407,0.00039112207,0.0
err2,53001,1,43,spatial,0.01258392,0.01258392,0.002785926,0.0001256628,0.0
err2,53001,1,44,mixed,0.0011532581,0.0011532581,0.0007983058,1.4440588e-05,0.0
err2,53001,1,45,spatial,0.001368354,0.001368354,0.00019071753,0.00016880833,0.0
err2,53001,1,46,spatial,0.008441431,0.008441431,0.00014116227,0.0010702494,0.0
err2,53001,1,47,mixed,0.012976242,0.012976242,0.0002284914,0.0073819887,0.0
err2,53001,1,48,mixed,0.0048526805,0.0048526805,0.009029621,0.0007974872,0.0
err2,53001,1,49,mixed,0.010285122,0.010285122,0.00018335883,0.0072377324,0.0
err2,53001,2,0,spatial,0.0095582865,0.0071417284,0.0013448211,0.00012596457,0.00241637
err2,53001,2,1,mixed,0.017888641,0.0068384893,0.0016609995,0.016918488,0.0109248
err2,53001,2,2,spatial,0.00455516,0.0031393657,0.0004853797,4.9740527e-05,0.0014118839
err2,53001,2,3,mixed,0.0062889606,0.004373012,0.00018598461,0.0044116164,0.0014575567
err2,53001,2,4,mixed,0.009094727,0.0041667675,0.0017541404,0.002330966,0.004856567
err2,53001,2,5,spatial,0.008566194,0.0076808734,0.0013773952,0.00017005915,0.000777048
err2,53001,2,6,mixed,0.0062252074,0.005019471,0.003981519,0.00059865846,0.0010368727
err2,53001,2,7,mixed,0.0022119554,0.0010437208,0.0002515381,0.00035837304,0.0011669974
err2,53001,2,8,spatial,0.079851165,0.06540978,0.00034244487,0.02880393,0.009627319
err2,53001,2,9,spatial,0.013756212,0.010485117,3.0436178e-05,0.0029100638,0.0023114083
err2,53001,2,10,spatial,0.011235172,0.009659434,0.000560886,0.0018575508,0.0013132046
err2,53001,2,11,spatial,0.019274144,0.016842997,0.0015281263,0.00036640535,0.0022185405
err2,53001,2,12,mixed,0.009105191,0.0051730573,0.0002871773,0.0019932615,0.0038731303
err2,53001,2,13,mixed,0.010324981,0.0073545664,0.00017505199,0.006372269,0.0020244906
err2,53001,2,14,mixed,0.0012465164,0.0005272537,8.1174076e-05,3.942705e-05,0.0007178062
err2,53001,2,15,mixed,0.008430893,0.003456876,1.2357026e-06,0.006484316,0.004875763
err2,53001,2,16,spatial,0.003190987,0.0022977667,6.825212e-05,0.00045108332,0.0008923991
err2,53001,2,17,spatial,0.0214864,0.01490599,0.00016515426,0.005168907,0.0065039424
err2,53001,2,18,mixed,0.0065238965,0.003330322,0.00035567814,0.0044419416,0.002894747
err2,53001,2,19,spatial,0.011462819,0.009817802,0.0008556842,0.0008596798,0.0013814564
err2,53001,2,20,spatial,0.024911653,0.021751134,0.00064672885,0.0065031997,0.0017245886
err2,53001,2,21,spatial,0.016726067,0.013283347,0.0033413596,0.006183198,0.0020921018
err2,53001,2,22,mixed,0.0022497105,0.0009924448,0.0003437161,0.00018355403,0.0012424747
err2,53001,2,23,spatial,0.028826123,0.025394676,0.0010038806,0.0029450294,0.002812969
err2,53001,2,24,mixed,0.018040355,0.009233593,0.0005034875,0.007678962,0.008716928
