record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
endpoint_unit,51001,err2,swap,0,11,,,,,16,0.9116659164428711
endpoint_unit,51001,err2,swap,0,11,,,,,17,1.476850712833766e-07
endpoint_unit,51001,err2,swap,0,11,,,,,18,0.7561070322990417
endpoint_unit,51001,err2,swap,0,11,,,,,19,0.6533634066581726
endpoint_unit,51001,err2,swap,0,11,,,,,20,-0.07687125355005264
endpoint_unit,51001,err2,swap,0,11,,,,,21,0.03928217664361
endpoint_unit,51001,err2,swap,0,11,,,,,22,-0.42513296008110046
endpoint_unit,51001,err2,swap,0,11,,,,,23,0.5318244695663452
endpoint_unit,51001,err2,swap,0,11,,,,,24,0.7986756563186646
endpoint_unit,51001,err2,swap,0,11,,,,,25,-0.44576409459114075
endpoint_unit,51001,err2,swap,0,11,,,,,26,-0.035112056881189346
endpoint_unit,51001,err2,swap,0,11,,,,,27,-0.017100287601351738
endpoint_unit,51001,err2,swap,0,11,,,,,28,0.40547287464141846
endpoint_unit,51001,err2,swap,0,11,,,,,29,0.17603543400764465
endpoint_unit,51001,err2,swap,0,11,,,,,30,-0.4229845404624939
endpoint_unit,51001,err2,swap,0,11,,,,,31,0.9024722576141357
endpoint_unit,51001,err2,swap,0,11,,,,,32,3.5909934581468406e-07
endpoint_unit,51001,err2,swap,0,11,,,,,33,0.8063430190086365
endpoint_unit,51001,err2,swap,0,11,,,,,34,-0.0735177993774414
endpoint_unit,51001,err2,swap,0,11,,,,,35,-0.12244954705238342
endpoint_unit,51001,err2,swap,0,11,,,,,36,0.7550772428512573
endpoint_unit,51001,err2,swap,0,11,,,,,37,0.8716627955436707
endpoint_unit,51001,err2,swap,0,11,,,,,38,1.3383416153089911e-08
endpoint_unit,51001,err2,swap,0,11,,,,,39,1.0784494408611067e-09
endpoint_unit,51001,err2,swap,0,11,,,,,40,0.33402371406555176
endpoint_unit,51001,err2,swap,0,11,,,,,41,-0.09923376888036728
endpoint_unit,51001,err2,swap,0,11,,,,,42,0.9999971985816956
endpoint_unit,51001,err2,swap,0,11,,,,,43,0.8510832190513611
endpoint_unit,51001,err2,swap,0,11,,,,,44,0.6820560693740845
endpoint_unit,51001,err2,swap,0,11,,,,,45,1.1163989732665414e-09
endpoint_unit,51001,err2,swap,0,11,,,,,46,0.7246700525283813
endpoint_unit,51001,err2,swap,0,11,,,,,47,0.5816642642021179
endpoint_unit,51001,err2,swap,0,11,,,,,48,0.061687592417001724
endpoint_unit,51001,err2,swap,0,11,,,,,49,7.2778860715772e-10
event_timecourse,51001,err2,no_swap,0,11,-3,0.7907710075378418,0.7015661001205444,0.8789801597595215,,
event_timecourse,51001,err2,no_swap,0,11,-2,0.8210350871086121,0.6980487108230591,0.8248069286346436,,
event_timecourse,51001,err2,no_swap,0,11,-1,0.847744882106781,0.7238010168075562,0.8210350871086121,,
event_timecourse,51001,err2,no_swap,0,11,0,0.8040913939476013,0.7551016211509705,0.8040913939476013,,
event_timecourse,51001,err2,no_swap,0,11,1,0.76888108253479,0.7433822154998779,0.79459547996521,,
event_timecourse,51001,err2,no_swap,0,11,2,0.7653681039810181,0.7822028994560242,0.7970966100692749,,
event_timecourse,51001,err2,no_swap,0,11,3,0.7548101544380188,0.7840202450752258,0.8172106146812439,,
event_timecourse,51001,err2,no_swap,0,11,4,0.7464666962623596,0.7857570052146912,0.8233312368392944,,
event_timecourse,51001,err2,no_swap,0,11,5,0.7183573246002197,0.7717740535736084,0.8147910833358765,,
event_timecourse,51001,err2,no_swap,0,11,6,0.745807409286499,0.7848808169364929,0.8087133169174194,,
