repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
3,73203,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6655447037220001,0.8788004729580134,0.48256292211823165,0.026029197499155998,0.10758055746555328
4,73204,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6806641825437546,0.87506227106601,0.582301189948339,0.027496976777911186,0.1004749983549118
5,73205,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6510198291540146,0.8689572042562067,0.4914952856898308,0.02573123760521412,0.10177718847990036
6,73206,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.667727386713028,0.8714428533762694,0.5896785655245185,0.02680305391550064,0.08999791741371155
7,73207,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6697223908901214,0.8614190309941768,0.5215562964351848,0.028734805062413216,0.10538285970687866
8,73208,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6660756427049637,0.869594427190721,0.6140924744829536,0.027017204090952873,0.08868330717086792
9,73209,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6645976281166077,0.8637750756926834,0.4485961864357814,0.027767209336161613,0.1125502958893776
10,73210,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6657739380598068,0.8654129327321425,0.5543687770180404,0.026494281366467476,0.10302247852087021
11,73211,50,5,0,base,0.05,0.05,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.6700101019144058,0.8615797206107527,0.6179276740252971,0.028585586696863174,0.08414779603481293
0,73200,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5054952681064606,0.7456819188259542,0.3870363089069724,0.048164188861846924,0.12211661785840988
1,73201,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.49793523049354554,0.7510731334513985,0.4228692698776722,0.04574558511376381,0.11498676985502243
2,73202,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5072419877052308,0.7439446806283667,0.5077058822261169,0.047589849680662155,0.10610923171043396
3,73203,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5003170485496521,0.7447264979048632,0.3996383839184418,0.04836544767022133,0.1198645681142807
4,73204,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5229962691068649,0.7698328289017081,0.5214136645612307,0.04585684463381767,0.1086721271276474
5,73205,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.48252973580360414,0.7080261202184484,0.406970370484516,0.050578631460666656,0.11362665146589279
